system,rank_bin,mean_score,count
BEFT,1-4,0.8851606805293005,2116
Base,1-4,0.7306238185255198,2116
DPO,1-4,0.7963137996219282,2116
SFT,1-4,0.7934782608695652,2116
BEFT,5-8,0.7420382165605095,314
Base,5-8,0.46496815286624205,314
DPO,5-8,0.5414012738853503,314
SFT,5-8,0.5509554140127388,314
BEFT,9-12,0.7389162561576355,203
Base,9-12,0.4236453201970443,203
DPO,9-12,0.4876847290640394,203
SFT,9-12,0.49261083743842365,203
BEFT,13-16,0.6637168141592921,113
Base,13-16,0.40707964601769914,113
DPO,13-16,0.48672566371681414,113
SFT,13-16,0.4778761061946903,113
BEFT,17-20,0.6421052631578947,95
Base,17-20,0.42105263157894735,95
DPO,17-20,0.4842105263157895,95
SFT,17-20,0.4842105263157895,95
